epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.55948406457901,2.9321086406707764,0.7341145873069763,2.0804848670959473
1,0.7138749957084656,2.078477621078491,0.7607421875,1.935711145401001
2,0.7433339953422546,1.9618141651153564,0.7645833492279053,1.9124807119369507
3,0.7596215605735779,1.9006907939910889,0.765429675579071,1.9239741563796997
4,0.7744474411010742,1.8583332300186157,0.7692057490348816,1.9002381563186646
5,0.7841172218322754,1.8325034379959106,0.7720052003860474,1.9163756370544434
6,0.7906707525253296,1.8134815692901611,0.7679687738418579,1.9263527393341064
7,0.8100584745407104,1.7510125637054443,0.7858723998069763,1.8499187231063843
8,0.8363852500915527,1.6629078388214111,0.7919270992279053,1.8274531364440918
9,0.8426818251609802,1.64795982837677,0.7954427003860474,1.820324182510376
