epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.597728431224823,2.772110939025879,0.736523449420929,2.022202968597412
1,0.7488434910774231,1.95344078540802,0.7650390863418579,1.9016592502593994
2,0.7868639230728149,1.8067306280136108,0.7788411378860474,1.855562686920166
3,0.8079863786697388,1.7406177520751953,0.7759765386581421,1.8658963441848755
4,0.8341686129570007,1.655613899230957,0.7958333492279053,1.7932970523834229
5,0.8574274182319641,1.58065927028656,0.7979817986488342,1.7782495021820068
6,0.8616358041763306,1.566819429397583,0.799023449420929,1.77360999584198
7,0.8661172986030579,1.5551728010177612,0.8021484613418579,1.7655619382858276
8,0.8695386648178101,1.5476012229919434,0.8031250238418579,1.7628532648086548
9,0.8710164427757263,1.5391442775726318,0.8020833134651184,1.7621632814407349
