epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5792158842086792,2.9003045558929443,0.744335949420929,2.045870780944824
1,0.7204124927520752,2.069476366043091,0.7592447996139526,1.9209692478179932
2,0.7495823502540588,1.9515907764434814,0.775195300579071,1.8899917602539062
3,0.7639424204826355,1.902063012123108,0.7757812738418579,1.8819257020950317
4,0.7736443281173706,1.8728128671646118,0.7786458134651184,1.884560465812683
5,0.7943652272224426,1.7984206676483154,0.7958984375,1.8133773803710938
6,0.8216717839241028,1.7017093896865845,0.7971354126930237,1.7890733480453491
7,0.8260408639907837,1.6850249767303467,0.7981119751930237,1.7860732078552246
8,0.8282414674758911,1.6753267049789429,0.8030598759651184,1.7734854221343994
9,0.8318073749542236,1.6608989238739014,0.8023437261581421,1.7690863609313965
10,0.8331084847450256,1.6554349660873413,0.8028646111488342,1.7657641172409058
11,0.8348110914230347,1.6519984006881714,0.8028646111488342,1.762952446937561
12,0.8373972177505493,1.640751838684082,0.8048177361488342,1.7564740180969238
13,0.8372044563293457,1.636552095413208,0.8049479126930237,1.757412075996399
14,0.8418947458267212,1.6253132820129395,0.8049479126930237,1.7491981983184814
